Global frequency set at 1000000000 ticks per second
gem5 Simulator System.  https://www.gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version 25.1.0.0
gem5 compiled Apr 25 2026 16:27:12
gem5 started Apr 25 2026 16:35:54
gem5 executing on DESKTOP-D0O9BA6, pid 115351
command line: ./build/X86/gem5.opt --debug-flags=ProtocolTrace configs/example/verify_map_table.py --ruby --num-cpus=4 --l1d_size=256B --l1i_size=256B --l2_size=512B --maxloads=500000

            833   0    L0Cache               Store      I>IM     [0x9c0, line 0x9c0] 
            835   0    L1Cache      L1_Replacement     IM>IM     [0x440, line 0x440] 
            871   0        Seq               Begin       >       [0x434, line 0x400] ST
            873   0    L0Cache               Store      I>IM     [0x400, line 0x400] 
            877   0    L1Cache               Store      I>IM     [0x400, line 0x400] 
            881   0        Seq               Begin       >       [0x1de8, line 0x1dc0] ST
            884   0    L0Cache               Store      I>IM     [0x1dc0, line 0x1dc0] 
            886   0  Directory               Fetch      I>IM     [0x440, line 0x440] 
            887   0  Directory               Fetch      I>IM     [0x4bc0, line 0x4bc0] 
            887   0    L1Cache      L1_Replacement     IM>IM     [0x440, line 0x440] 
            891   0        Seq               Begin       >       [0x31e8, line 0x31c0] ST
            893   0    L0Cache               Store      I>IM     [0x31c0, line 0x31c0] 
            896   0    L1Cache      L1_Replacement     IM>IM     [0x440, line 0x440] 
            917   2    L1Cache                 Inv    M_I>SINK_WB_ACK [0x3c0, line 0x3c0] 
            937   2    L1Cache      L1_Replacement MM_IL0>MM_IL0 [0x34c0, line 0x34c0] 
            938   2    L1Cache              L0_Ack MM_IL0>MM     [0x34c0, line 0x34c0] 
            938   2    L1Cache      L1_Replacement     MM>M_I    [0x34c0, line 0x34c0] 
            938   2    L1Cache               Store      I>IM     [0x16c0, line 0x16c0] 
            938   2    L1Cache      L1_Replacement     IM>IM     [0x12c0, line 0x12c0] 
            938   2    L1Cache      L1_Replacement     IM>IM     [0x12c0, line 0x12c0] 
            938   2    L1Cache      L1_Replacement     IM>IM     [0x12c0, line 0x12c0] 
            938   2    L1Cache      L1_Replacement     IM>IM     [0x12c0, line 0x12c0] 
            938   2    L1Cache      L1_Replacement     IM>IM     [0x12c0, line 0x12c0] 
            938   2    L1Cache      L1_Replacement     IM>IM     [0x12c0, line 0x12c0] 
            938   2    L1Cache      L1_Replacement     IM>IM     [0x12c0, line 0x12c0] 
            938   2    L1Cache      L1_Replacement     IM>IM     [0x12c0, line 0x12c0] 
            938   0    L2Cache             WB_Data  MCT_I>M_I    [0x3c0, line 0x3c0] 
            939   0    L2Cache   Exclusive_Unblock  MT_MB>MT     [0x34c0, line 0x34c0] 
            942   0  Directory         Memory_Data     IM>M      [0x4bc0, line 0x4bc0] 
            942   2    L1Cache               Store      I>IM     [0x400, line 0x400] 
            945   0    L2CacheL2_Replacement_clean     MT>MCT_I  [0x34c0, line 0x34c0] 
            945   0    L2Cache         L1_PUTX_old    M_I>M_I    [0x3c0, line 0x3c0] 
            964   0    L2Cache            Mem_Data     IM>MT_MB  [0x4bc0, line 0x4bc0] 
           1001   0        Seq               Begin       >       [0x5bec, line 0x5bc0] ST
           1002   0    L0Cache      L0_Replacement     IM>IM     [0x4bc0, line 0x4bc0] 
           1004   0    L2Cache             L1_GETX     NP>IM     [0x400, line 0x400] 
           1044   0  Directory         Memory_Data     IM>M      [0x440, line 0x440] 
           1053   0    L2Cache             L1_GETX     NP>IM     [0x12c0, line 0x12c0] 
           1061   0        Seq               Begin       >       [0x1bec, line 0x1bc0] ST
           1065   0    L0Cache      L0_Replacement     IM>IM     [0x4bc0, line 0x4bc0] 
           1070   0    L2CacheL2_Replacement_clean  MT_MB>MT_MB  [0x4bc0, line 0x4bc0] 
           1071   0        Seq               Begin       >       [0x22e8, line 0x22c0] ST
           1074   0    L0Cache      L0_Replacement     IM>IM     [0x32c0, line 0x32c0] 
           1141   0        Seq               Begin       >       [0x8e8, line 0x8c0] ST
           1142   0    L0Cache               Store      I>IM     [0x8c0, line 0x8c0] 
           1145   0    L1Cache      L1_Replacement     IM>IM     [0x440, line 0x440] 
           1161   0        Seq               Begin       >       [0x18ec, line 0x18c0] ST
           1163   0    L0Cache      L0_Replacement     IM>IM     [0x8c0, line 0x8c0] 
           1165   0  Directory                Data      M>MI     [0x3c0, line 0x3c0] 
           1170   0    L1Cache       Data_all_Acks     IM>M      [0x4bc0, line 0x4bc0] 
           1171   0        Seq                Done       >       [0x4bec, line 0x4bc0] 740 cycles
           1171   0    L0Cache      Data_Exclusive     IM>M      [0x4bc0, line 0x4bc0] 
           1171   0    L0Cache      L0_Replacement      M>I      [0x4bc0, line 0x4bc0] 
           1171   0    L0Cache               Store      I>IM     [0x5bc0, line 0x5bc0] 
           1171   0    L0Cache      L0_Replacement     IM>IM     [0x5bc0, line 0x5bc0] 
           1171   0    L2Cache            Mem_Data     IM>MT_MB  [0x440, line 0x440] 
           1173   0    L1Cache           WriteBack      M>MM     [0x4bc0, line 0x4bc0] 
           1176   0    L1Cache      L1_Replacement     IM>IM     [0x440, line 0x440] 
           1178   2    L1Cache                 Inv    M_I>SINK_WB_ACK [0x34c0, line 0x34c0] 
           1179   0  Directory          Memory_Ack     MI>I      [0x3c0, line 0x3c0] 
           1187   0    L2Cache   Exclusive_Unblock  MT_MB>MT     [0x4bc0, line 0x4bc0] 
           1187   0    L2CacheL2_Replacement_clean     MT>MCT_I  [0x4bc0, line 0x4bc0] 
           1187   0    L2Cache         L1_PUTX_old  MCT_I>MCT_I  [0x34c0, line 0x34c0] 
           1189   0    L2Cache             L1_GETX     NP>IM     [0x16c0, line 0x16c0] 
           1191   0        Seq               Begin       >       [0x64ec, line 0x64c0] ST
           1193   0    L0Cache      L0_Replacement     IM>IM     [0x24c0, line 0x24c0] 
           1201   0    L2Cache             Mem_Ack    M_I>NP     [0x3c0, line 0x3c0] 
           1211   0        Seq               Begin       >       [0x44e8, line 0x44c0] ST
           1213   0    L0Cache      L0_Replacement     IM>IM     [0x24c0, line 0x24c0] 
           1221   0        Seq               Begin       >       [0x63e8, line 0x63c0] ST
           1224   0    L0Cache               Store      I>IM     [0x63c0, line 0x63c0] 
           1225   0    L1Cache      L1_Replacement     IM>IM     [0x440, line 0x440] 
           1241   0        Seq               Begin       >       [0x41e8, line 0x41c0] ST
           1243   0    L0Cache      L0_Replacement     IM>IM     [0x31c0, line 0x31c0] 
           1244   0  Directory               Fetch      I>IM     [0x400, line 0x400] 
           1288   0  Directory         Memory_Data     IM>M      [0x400, line 0x400] 
           1297   0    L1Cache       Data_all_Acks     IM>M      [0x440, line 0x440] 
           1297   0    L1Cache      L1_Replacement     MM>M_I    [0x4bc0, line 0x4bc0] 
           1297   0    L1Cache               Store      I>IM     [0x24c0, line 0x24c0] 
           1297   0    L1Cache   L0_Invalidate_Own      M>M_IL0  [0x440, line 0x440] 
           1297   0    L1Cache   L0_Invalidate_Own  M_IL0>M_IL0  [0x440, line 0x440] 
           1297   0    L1Cache   L0_Invalidate_Own  M_IL0>M_IL0  [0x440, line 0x440] 
           1297   0    L1Cache   L0_Invalidate_Own  M_IL0>M_IL0  [0x440, line 0x440] 
           1297   0    L1Cache   L0_Invalidate_Own  M_IL0>M_IL0  [0x440, line 0x440] 
           1297   0    L1Cache   L0_Invalidate_Own  M_IL0>M_IL0  [0x440, line 0x440] 
           1297   0    L1Cache   L0_Invalidate_Own  M_IL0>M_IL0  [0x440, line 0x440] 
           1297   0    L1Cache   L0_Invalidate_Own  M_IL0>M_IL0  [0x440, line 0x440] 
           1298   0  Directory               Fetch      I>IM     [0x12c0, line 0x12c0] 
           1299   0    L2Cache             WB_Data  MCT_I>M_I    [0x34c0, line 0x34c0] 
           1301   0        Seq                Done       >       [0x450, line 0x440] 890 cycles
           1301   0    L0Cache      Data_Exclusive     IM>M      [0x440, line 0x440] 
           1301   0        Seq               Begin       >       [0xfe8, line 0xfc0] ST
           1303   0    L0Cache              InvOwn      M>I      [0x440, line 0x440] 
           1305   0    L0Cache               Store      I>IM     [0xfc0, line 0xfc0] 
           1305   0    L2Cache             L1_GETX     IM>IM     [0x400, line 0x400] 
           1307   0    L1Cache          L0_DataAck  M_IL0>MM     [0x440, line 0x440] 
           1307   0    L1Cache      L1_Replacement     MM>M_I    [0x440, line 0x440] 
           1307   0    L1Cache               Store      I>IM     [0x32c0, line 0x32c0] 
           1307   0    L1Cache      L1_Replacement     IM>IM     [0x24c0, line 0x24c0] 
           1307   0    L1Cache      L1_Replacement     IM>IM     [0x24c0, line 0x24c0] 
           1307   0    L1Cache      L1_Replacement     IM>IM     [0x24c0, line 0x24c0] 
           1307   0    L1Cache      L1_Replacement     IM>IM     [0x24c0, line 0x24c0] 
           1307   0    L1Cache      L1_Replacement     IM>IM     [0x24c0, line 0x24c0] 
           1307   0    L1Cache      L1_Replacement     IM>IM     [0x24c0, line 0x24c0] 
           1308   0    L1Cache      L1_Replacement     IM>IM     [0x24c0, line 0x24c0] 
           1316   0    L1Cache                 Inv    M_I>SINK_WB_ACK [0x4bc0, line 0x4bc0] 
           1317   0  Directory                Data      M>MI     [0x34c0, line 0x34c0] 
           1331   0  Directory          Memory_Ack     MI>I      [0x34c0, line 0x34c0] 
           1343   0  Directory         Memory_Data     IM>M      [0x12c0, line 0x12c0] 
           1378   2    L1Cache              WB_Ack SINK_WB_ACK>I      [0x3c0, line 0x3c0] 
           1430   0    L2CacheL2_Replacement_clean     IM>IM     [0x12c0, line 0x12c0] 
           1431   0    L2Cache         L1_PUTX_old  MT_MB>MT_MB  [0x440, line 0x440] 
           1433   0    L2CacheL2_Replacement_clean     IM>IM     [0x12c0, line 0x12c0] 
           1515   0    L2Cache            Mem_Data     IM>MT_MB  [0x400, line 0x400] 
           1519   0    L2Cache             Mem_Ack    M_I>NP     [0x34c0, line 0x34c0] 
           1519   0    L2CacheL2_Replacement_clean     IM>IM     [0x12c0, line 0x12c0] 
           1525   0    L1Cache       Data_all_Acks     IM>M      [0x400, line 0x400] 
           1527   0        Seq                Done       >       [0x434, line 0x400] 656 cycles
           1527   0    L0Cache      Data_Exclusive     IM>M      [0x400, line 0x400] 
           1529   0    L2Cache   Exclusive_Unblock  MT_MB>MT     [0x440, line 0x440] 
           1529   0    L2Cache             WB_Data  MCT_I>M_I    [0x4bc0, line 0x4bc0] 
           1529   0    L2Cache             L1_PUTX     MT>M      [0x440, line 0x440] 
           1536   0  Directory               Fetch      I>IM     [0x16c0, line 0x16c0] 
           1539   0    L2Cache   Exclusive_Unblock  MT_MB>MT     [0x400, line 0x400] 
           1539   0    L2Cache             L1_GETX     MT>MT_MB  [0x400, line 0x400] 
           1541   0    L2CacheL2_Replacement_clean     IM>IM     [0x12c0, line 0x12c0] 
           1582   0  Directory         Memory_Data     IM>M      [0x16c0, line 0x16c0] 
           1628   0    L2Cache            Mem_Data     IM>MT_MB  [0x12c0, line 0x12c0] 
           1641   0        Seq               Begin       >       [0x41c, line 0x400] ST
           1645   0        Seq                Done       >       [0x41c, line 0x400] 4 cycles
           1645   0    L0Cache               Store      M>M      [0x400, line 0x400] 
           1651   0        Seq               Begin       >       [0x10ec, line 0x10c0] ST
           1652   0    L0Cache               Store      I>IM     [0x10c0, line 0x10c0] 
           1653   0    L1Cache      L1_Replacement     IM>IM     [0x24c0, line 0x24c0] 
           1660   0    L1Cache              WB_Ack    M_I>I      [0x440, line 0x440] 
           1663   0    L1Cache  L0_Invalidate_Else      M>M_IL0  [0x400, line 0x400] 
           1663   0    L1Cache  L0_Invalidate_Else  M_IL0>M_IL0  [0x400, line 0x400] 
           1665   0    L0Cache             InvElse      M>I      [0x400, line 0x400] 
           1666   0    L1Cache          L0_DataAck  M_IL0>MM     [0x400, line 0x400] 
           1666   0    L1Cache            Fwd_GETX     MM>I      [0x400, line 0x400] 
           1687   2    L1Cache       Data_all_Acks     IM>M      [0x400, line 0x400] 
           1691   2        Seq                Done       >       [0x408, line 0x400] 870 cycles
           1691   2    L0Cache      Data_Exclusive     IM>M      [0x400, line 0x400] 
           1701   2        Seq               Begin       >       [0x25e8, line 0x25c0] ST
           1705   2    L0Cache               Store      I>IM     [0x25c0, line 0x25c0] 
           1706   2    L1Cache      L1_Replacement     IM>IM     [0x12c0, line 0x12c0] 
           1710   0    L2Cache            Mem_Data     IM>MT_MB  [0x16c0, line 0x16c0] 
           1757   2    L1Cache       Data_all_Acks     IM>M      [0x12c0, line 0x12c0] 
           1757   2    L1Cache      L1_Replacement     IM>IM     [0x16c0, line 0x16c0] 
           1757   2    L1Cache      L1_Replacement     IM>IM     [0x16c0, line 0x16c0] 
           1757   2    L1Cache      L1_Replacement     IM>IM     [0x16c0, line 0x16c0] 
           1757   2    L1Cache      L1_Replacement     IM>IM     [0x16c0, line 0x16c0] 
           1757   2    L1Cache      L1_Replacement     IM>IM     [0x16c0, line 0x16c0] 
           1757   2    L1Cache      L1_Replacement     IM>IM     [0x16c0, line 0x16c0] 
           1757   2    L1Cache      L1_Replacement     IM>IM     [0x16c0, line 0x16c0] 
           1757   2    L1Cache      L1_Replacement     IM>IM     [0x16c0, line 0x16c0] 
           1757   2    L1Cache      L1_Replacement     IM>IM     [0x16c0, line 0x16c0] 
           1759   2        Seq                Done       >       [0x12e8, line 0x12c0] 1718 cycles
           1759   2    L0Cache      Data_Exclusive     IM>M      [0x12c0, line 0x12c0] 
           1759   2    L0Cache      L0_Replacement      M>I      [0x12c0, line 0x12c0] 
           1759   2    L0Cache               Store      I>IM     [0x62c0, line 0x62c0] 
           1761   2    L1Cache       Data_all_Acks     IM>M      [0x16c0, line 0x16c0] 
           1761   2    L1Cache   L0_Invalidate_Own      M>M_IL0  [0x12c0, line 0x12c0] 
           1761   2    L1Cache   L0_Invalidate_Own  M_IL0>M_IL0  [0x12c0, line 0x12c0] 
           1761   2    L1Cache   L0_Invalidate_Own  M_IL0>M_IL0  [0x12c0, line 0x12c0] 
           1761   2    L1Cache   L0_Invalidate_Own  M_IL0>M_IL0  [0x12c0, line 0x12c0] 
           1761   2    L1Cache   L0_Invalidate_Own  M_IL0>M_IL0  [0x12c0, line 0x12c0] 
           1761   2    L1Cache   L0_Invalidate_Own  M_IL0>M_IL0  [0x12c0, line 0x12c0] 
           1761   2    L1Cache   L0_Invalidate_Own  M_IL0>M_IL0  [0x12c0, line 0x12c0] 
           1761   2    L1Cache   L0_Invalidate_Own  M_IL0>M_IL0  [0x12c0, line 0x12c0] 
           1761   2    L1Cache   L0_Invalidate_Own  M_IL0>M_IL0  [0x12c0, line 0x12c0] 
           1761   2    L1Cache   L0_Invalidate_Own  M_IL0>M_IL0  [0x12c0, line 0x12c0] 
           1763   2        Seq                Done       >       [0x16ec, line 0x16c0] 1702 cycles
           1763   2    L0Cache      Data_Exclusive     IM>M      [0x16c0, line 0x16c0] 
           1763   2    L0Cache      L0_Replacement      M>I      [0x16c0, line 0x16c0] 
           1763   2    L0Cache               Store      I>IM     [0x66c0, line 0x66c0] 
           1811   2        Seq               Begin       >       [0x4de8, line 0x4dc0] ST
           1820   0    L2Cache   Exclusive_Unblock  MT_MB>MT     [0x400, line 0x400] 
           1868   2    L1Cache           WriteBack  M_IL0>MM_IL0 [0x12c0, line 0x12c0] 
           1868   2    L1Cache      L1_Replacement MM_IL0>MM_IL0 [0x12c0, line 0x12c0] 
           1868   2    L1Cache      L1_Replacement MM_IL0>MM_IL0 [0x12c0, line 0x12c0] 
           1868   2    L1Cache      L1_Replacement MM_IL0>MM_IL0 [0x12c0, line 0x12c0] 
           1868   2    L1Cache      L1_Replacement MM_IL0>MM_IL0 [0x12c0, line 0x12c0] 
           1868   2    L1Cache      L1_Replacement MM_IL0>MM_IL0 [0x12c0, line 0x12c0] 
           1868   2    L1Cache      L1_Replacement MM_IL0>MM_IL0 [0x12c0, line 0x12c0] 
           1868   2    L1Cache      L1_Replacement MM_IL0>MM_IL0 [0x12c0, line 0x12c0] 
           1868   2    L1Cache      L1_Replacement MM_IL0>MM_IL0 [0x12c0, line 0x12c0] 
           1868   2    L1Cache      L1_Replacement MM_IL0>MM_IL0 [0x12c0, line 0x12c0] 
           1870   2    L1Cache      L1_Replacement MM_IL0>MM_IL0 [0x12c0, line 0x12c0] 
           1871   2    L1Cache           WriteBack      M>MM     [0x16c0, line 0x16c0] 
           1873   2    L1Cache      L1_Replacement MM_IL0>MM_IL0 [0x12c0, line 0x12c0] 
           1879   2    L0Cache              InvOwn      I>I      [0x12c0, line 0x12c0] 
           1882   2    L1Cache              L0_Ack MM_IL0>MM     [0x12c0, line 0x12c0] 
           1882   2    L1Cache      L1_Replacement     MM>M_I    [0x12c0, line 0x12c0] 
           1882   2    L1Cache               Store      I>IM     [0x50c0, line 0x50c0] 
           1882   2    L1Cache      L1_Replacement     MM>M_I    [0x16c0, line 0x16c0] 
           1882   2    L1Cache               Store      I>IM     [0x4ec0, line 0x4ec0] 
           1882   2    L1Cache      L1_Replacement     IM>IM     [0x50c0, line 0x50c0] 
           1882   2    L1Cache      L1_Replacement     IM>IM     [0x50c0, line 0x50c0] 
           1882   2    L1Cache      L1_Replacement     IM>IM     [0x50c0, line 0x50c0] 
           1882   2    L1Cache      L1_Replacement     IM>IM     [0x50c0, line 0x50c0] 
           1882   2    L1Cache      L1_Replacement     IM>IM     [0x50c0, line 0x50c0] 
           1882   2    L1Cache      L1_Replacement     IM>IM     [0x50c0, line 0x50c0] 
           1882   2    L1Cache      L1_Replacement     IM>IM     [0x50c0, line 0x50c0] 
           1882   2    L1Cache      L1_Replacement     IM>IM     [0x50c0, line 0x50c0] 
           1882   2    L1Cache      L1_Replacement     IM>IM     [0x50c0, line 0x50c0] 
           1926   2    L0Cache               Store      I>IM     [0x4dc0, line 0x4dc0] 
           1927   2    L1Cache      L1_Replacement     IM>IM     [0x50c0, line 0x50c0] 
           1979   0  Directory                Data      M>MI     [0x4bc0, line 0x4bc0] 
           1992   0  Directory          Memory_Ack     MI>I      [0x4bc0, line 0x4bc0] 
           1993   0    L2Cache   Exclusive_Unblock  MT_MB>MT     [0x12c0, line 0x12c0] 
